pid,encycId
290,Bottleneck
892,GalaxyOpposingCells
895,GalaxyConnectionExclusion
896,GalaxyOpposingNulls
1233,Phantoms
1325,AreaCornerTrick
1906,SplitCount
1986,TheSnakePattern
1991,SnakeNo2x2
2003,SnakeSubtleTrap
2023,UncoloredOverloading
2052,Phantoms
2053,Tethering
2054,AreaReach
2055,Phantoms
2066,UncoloredIsolation
2118,SnakeBottleneck
2119,SnakeAdvancedEntries
2121,SnakeCorners
2133,Reversing
2208,UncoloredAlternation
2349,Tethering
2409,Tethering
2440,SymbolOwnership
2615,DominionExclusion
2624,Multinuri
2694,AreaOutlining
3569,SizeOverloading
3755,SizeOverloading
3804,SizeIsolation
3840,SizeIsolation
3904,SizeOverloading
4064,AreaSeparation
4066,AreaExpansion
4085,ConnectedExpansion
4109,ConnectedIsolation
4335,CaveMaximums
4369,CavePartialExpansion
4371,CavePartialExpansion
4372,CavePartialExpansion
4403,CaveMaximums
4452,CavePartialExpansion
4455,PerpendicularCaveTrick
4466,NoDominoCaveTrick
4490,SizeIsolation
4555,AreaOverloading
7498,MoreThanZero
7499,MoreThanZero
7500,LessThanTwo
7501,LessThanTwo
8768,Insight-Gliding
9040,Insight-Excursions
9041,Insight-Excursions
10647,Insight-ThinStrokes
10677,Insight-HiddenSound
10753,DominionExclusion
10763,Insight-HiddenSound
12267,Insight-Routing
13638,OneTrueValue
13641,PatternAwareness
13642,Barrier
13643,DominionSeparation
13644,DominionExpansion
13645,MirrorConnectionRestrction
13646,DominionTransmission
13647,MirrorOpposingCells
13648,NoThreeinaRowGroups
13650,UncoloredSymmetryInsight
13652,TheRectanglePattern
13653,TheRectanglePattern
13654,BorderRule
13655,Checkerboard
13656,TwoPossibleValues
13658,TheRectanglePattern
13660,TheSnakePattern
13662,MirrorOpposingNulls
13663,ConflictingAreaNumberTrick
13665,MirrorConnectionRestrction
13666,OneWayCaves
13667,Insight-Landmarks
13668,Insight-ViewfinderParallax
13669,Insight-Landmarks
13670,Insight-Landmarks
13671,Insight-MatchboxVantage
13672,Insight-ViewfinderParallax
14000,Insight-TrickOfTheWanderer
17251,ForcedMultitiles
17252,ArrowMinimax
17271,ArrowPatternMaximums
18612,DominionBottleneck
18613,AreaTrapping
18614,Phantoms
18615,OutlineOverloading
19099,Reversing
19100,AreaReach
19971,SizeOverloading
19982,Size2CornerTrick
19984,SizeSeeds
20028,SizeSeeds
20676,Insight-LockpickParity
20695,Insight-Constrained
21064,Elevator
21087,Insight-MatchThreeWall
21696,Insight-MatchThreeFewer
22282,OverlappingArrows
24698,Insight-RyoanjiHidden
24702,Insight-RyoanjiHidden
24740,Insight-RollingTrick
24746,Insight-RollingTrick