pid,takeFrom,zoneName
22794,24626,Verdant Glen
22834,24398,Verdant Glen
22844,24277,Verdant Glen
22846,23723,Verdant Glen
22973,24495,Verdant Glen
22994,23588,Verdant Glen
22998,24145,Verdant Glen
23067,24158,Verdant Glen
23070,24568,Verdant Glen
22795,23406,Autumn Falls
22798,24456,Autumn Falls
22838,23591,Autumn Falls
22839,24547,Autumn Falls
22842,23894,Autumn Falls
22974,24660,Autumn Falls
22979,24341,Autumn Falls
22981,23943,Autumn Falls
22990,24488,Autumn Falls
22991,23576,Autumn Falls
22992,24629,Autumn Falls
22993,23817,Autumn Falls
22835,24323,Shady Wildwoods
22843,23982,Shady Wildwoods
22970,24311,Shady Wildwoods
22972,24179,Shady Wildwoods
22975,24272,Shady Wildwoods
22976,23598,Shady Wildwoods
22977,23626,Shady Wildwoods
22978,23414,Shady Wildwoods
22983,24317,Shady Wildwoods
22984,23559,Shady Wildwoods
22985,23939,Shady Wildwoods
22986,23656,Shady Wildwoods
22995,23290,Shady Wildwoods
22996,24250,Shady Wildwoods
22793,24305,Serene Deluge
22796,24441,Serene Deluge
22797,24178,Serene Deluge
22836,24116,Serene Deluge
22837,23062,Serene Deluge
22840,23421,Serene Deluge
22841,24497,Serene Deluge
22980,24418,Serene Deluge
22982,24598,Serene Deluge
22987,23314,Serene Deluge
22988,24464,Serene Deluge
22989,23412,Serene Deluge
22997,24260,Serene Deluge
22999,24648,Serene Deluge
23074,24230,Serene Deluge